sector,Company,기준가,Date,Volume,close,high,low,open,배당성향,gold,유가,Trend_B,Trend_F,C_operation,C_Investing,C_Finance,매출이익,순이익,영업이익,EPS,PBR,PER,UpDI,DownDI,DMI,수익률
Consumer Discretionary,AAPL.UW.Equity,1409.579389,2011-01-01,834.580915,48.47,49.8,46.41,325.64,0,1327,89.17,50,48,6219,-1522,547,26741,6004,7827,0.9,5.4,18,40.93,7.05,5.805673759,5.186631944
Consumer Discretionary,AAPL.UW.Equity,1413.685021,2011-02-01,723.560215,50.46,52.13,48.25,341.3,0,1411,88.58,42,41,6219,-1522,547,26741,6004,7827,0.9,5.4,18,43.23,6.2,6.972580645,4.10563235
Consumer Discretionary,AAPL.UW.Equity,1412.337419,2011-03-01,870.667497,49.78,51.66,46.61,355.47,0,1439,102.86,47,50,6219,-1522,547,26741,6004,7827,0.9,5.4,18,36.59,10.22,3.580234834,-1.347602061
Consumer Discretionary,AAPL.UW.Equity,1412.277154,2011-04-01,739.669259,49.75,50.71,45.74,351.11,0,1535.5,109.53,44,45,11108,-15032,37,24667,5987,7874,0.9,5.2,16.6,31.14,11.29,2.758193091,-0.060265167
Consumer Discretionary,AAPL.UW.Equity,1412.156551,2011-05-01,553.576317,49.69,50.26,47.06,349.74,0,1536.5,100.9,41,43,11108,-15032,37,24667,5987,7874,0.9,5.2,16.6,27.14,9.84,2.758130081,-0.120603015
Consumer Discretionary,AAPL.UW.Equity,1408.654841,2011-06-01,712.687087,47.95,50.3,44.38,348.87,0,1505.5,96.26,41,45,11108,-15032,37,24667,5987,7874,0.9,5.2,16.6,22.51,12.82,1.755850234,-3.501710606
Consumer Discretionary,AAPL.UW.Equity,1424.98435,2011-07-01,653.653637,55.78,57.78,47.75,335.95,0,1628.5,97.3,46,50,10429,-13136,431,28571,7308,9379,1.1,4.5,13.3,35.48,9.62,3.688149688,16.32950991
Consumer Discretionary,AAPL.UW.Equity,1423.550145,2011-08-01,1009.741243,54.98,57.07,50.46,397.78,0,1813.5,86.33,61,59,10429,-13136,431,28571,7308,9379,1.1,4.5,13.3,29.81,8.08,3.689356436,-1.434205809
Consumer Discretionary,AAPL.UW.Equity,1422.586158,2011-09-01,673.880816,54.45,60.41,52.36,385.82,0,1620,85.52,51,49,10429,-13136,431,28571,7308,9379,1.1,4.5,13.3,31.93,6.61,4.830559758,-0.963986904
Consumer Discretionary,AAPL.UW.Equity,1428.793688,2011-10-01,632.278409,57.83,60.96,50.61,380.37,0,1722,86.32,100,88,17554,-17128,69,28270,6623,8710,1,4.6,13.8,25.12,8.8,2.854545455,6.207529844
Consumer Discretionary,AAPL.UW.Equity,1423.208351,2011-11-01,419.177108,54.6,58.16,51.91,397.41,0,1746,97.16,55,58,17554,-17128,69,28270,6623,8710,1,4.6,13.8,21.81,7.64,2.854712042,-5.585336331
Consumer Discretionary,AAPL.UW.Equity,1429.179047,2011-12-01,318.83306,57.86,58.44,53.96,382.54,0,1531,98.56,48,58,17554,-17128,69,28270,6623,8710,1,4.6,13.8,20.04,6.9,2.904347826,5.970695971
Consumer Discretionary,AAPL.UW.Equity,1441.882124,2012-01-01,345.020984,65.21,65.46,58.43,405,0,1744,100.27,55,56,13977,-14476,310,46333,13064,17340,2,4.2,11.5,31.52,5.81,5.425129088,12.70307639
Consumer Discretionary,AAPL.UW.Equity,1460.713591,2012-02-01,555.636494,77.49,78.23,64.85,458.41,0,1770,102.2,54,56,13977,-14476,310,46333,13064,17340,2,4.2,11.5,47.11,4.39,10.73120729,18.83146757
Consumer Discretionary,AAPL.UW.Equity,1471.231077,2012-03-01,681.076571,85.64,88.77,73.75,548.17,0,1662.5,106.16,69,74,13977,-14476,310,46333,13064,17340,2,4.2,11.5,52.65,3.34,15.76347305,10.51748613
Consumer Discretionary,AAPL.UW.Equity,1468.685538,2012-04-01,724.100041,83.46,92,79.29,601.83,0,1651.25,103.32,61,62,10189,-12310,-55,39186,11622,15384,1.8,5.5,14.6,47.46,2.7,17.57777778,-2.545539468
Consumer Discretionary,AAPL.UW.Equity,1467.571232,2012-05-01,530.407661,82.53,85.25,75.53,584.9,0,1558,94.65,48,54,10189,-12310,-55,39186,11622,15384,1.8,5.5,14.6,40.1,9.11,4.401756312,-1.114306254
Consumer Discretionary,AAPL.UW.Equity,1468.661744,2012-06-01,416.117947,83.43,84.29,78.36,569.16,0,1598.5,82.3,46,55,10189,-12310,-55,39186,11622,15384,1.8,5.5,14.6,36.47,8.28,4.404589372,1.090512541
Consumer Discretionary,AAPL.UW.Equity,1473.240433,2012-07-01,486.857231,87.25,88.55,81.43,584.73,0,1622,87.9,48,55,9136,-4313,-2022,35023,8824,11573,1.3,4.9,13.7,39.08,7.36,5.309782609,4.578688721
Consumer Discretionary,AAPL.UW.Equity,1482.157338,2012-08-01,460.409901,95.03,97.27,85.75,615.9,0,1648.5,94.13,55,63,9136,-4313,-2022,35023,8824,11573,1.3,4.9,13.7,45.38,6.09,7.451559934,8.916905444
Consumer Discretionary,AAPL.UW.Equity,1482.462505,2012-09-01,519.981161,95.32,100.72,93.71,665.76,30.2397,1776,94.51,85,89,9136,-4313,-2022,35023,8824,11573,1.3,4.9,13.7,45.81,5.43,8.436464088,0.305166789
Consumer Discretionary,AAPL.UW.Equity,1471.646307,2012-10-01,638.267112,85.01,96.68,83.96,671.16,30.2397,1719,89.49,71,73,23426,-13521,-4497,35966,8223,10944,1.2,5.3,15.1,37.36,18.57,2.011847065,-10.81619807
Consumer Discretionary,AAPL.UW.Equity,1469.999442,2012-11-01,667.036433,83.61,86.14,72.25,598.22,30.2397,1726,86.53,62,72,23426,-13521,-4497,35966,8223,10944,1.2,5.3,15.1,30.12,30.75,0.979512195,-1.646865075
Consumer Discretionary,AAPL.UW.Equity,1461.077064,2012-12-01,591.100083,76.15,84.94,71.61,593.65,19.0253,1657.5,87.86,58,71,23426,-13521,-4497,35966,8223,10944,1.2,5.3,15.1,24.94,26.3,0.948288973,-8.922377706
Consumer Discretionary,AAPL.UW.Equity,1446.487439,2013-01-01,669.78135,65.04,79.29,62.27,553.82,19.0253,1664.75,94.76,67,69,12504,-14357,-2248,54512,13078,17210,2,3.9,12.1,19.88,32.16,0.618159204,-14.58962574
Consumer Discretionary,AAPL.UW.Equity,1443.443158,2013-02-01,510.755483,63.06,69.27,62.52,459.11,19.0253,1588.5,95.31,53,60,12504,-14357,-2248,54512,13078,17210,2,3.9,12.1,18.2,29.45,0.617996604,-3.044280443
Consumer Discretionary,AAPL.UW.Equity,1443.712743,2013-03-01,498.911651,63.23,67.14,59.86,438,26.0817,1598.25,92.94,49,54,12504,-14357,-2248,54512,13078,17210,2,3.9,12.1,16.47,30.13,0.546631265,0.269584523
